"Semana.","Área natural protegida","Categoría","Tipo","Estado","Municipio","Posible causa","Tipo de vegetación","Superficie","Total días/persona","Tipo de atención","Latitud","Longitud"
"26","Área de Conservación Los Ojos 3 Fracciones E, F, G, H, I","Áreas Destinadas Voluntariamente a la Conservación","Federal","sonora","AGUA PRIETA","Desconocidas","Bosque de Encino","371.1012","77","Combate","31.324581","-108.97389"
"26","Bavispe","Área de Protección de Flora y Fauna","Federal","sonora","NACO","Naturales","Bosque de Pino-Encino","3.5143","34","Combate","31.259256","-109.98842"
"26","Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec","Área de Protección de los Recursos Naturales","Federal","méxico","TEMASCALTEPEC","Actividades pecuarias","Bosque de Pino-Encino","1.3866","23","Combate","19.16247","-99.887955"
"26","Sierra Condiro Canales - Cerro San Miguel Chiquihuitillo","Área Estatal de Protección Hidrológica","Estatal","jalisco","CHAPALA","Residuos de aprovechamiento forestal","Selva Baja Caducifolia","19.1882","8","Combate","20.380163","-103.1033"
"26","Papigochic","Área de Protección de Flora y Fauna","Federal","chihuahua","BOCOYNA","Actividades agrícolas","Bosque de Pino","168.9609","252","Combate","27.928719","-107.77492"
"25","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","zacatecas","VALPARAÍSO","Intencional","Bosque de Pino-Encino","3553.2","677","Combate","22.883368","-103.85002"
"25","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","zacatecas","VALPARAÍSO","Desconocidas","Bosque de Encino","0.1589","6","Combate","22.657265","-103.348915"
"25","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","zacatecas","SANTA MARÍA DE LA PAZ","Desconocidas","Bosque de Pino-Encino","1.1824","15","Combate","21.466366","-103.217705"
"25","Cañón del Río Blanco","Parque Nacional","Federal","veracruz","RAFAEL DELGADO","Intencional","Bosque de Encino-Pino","48.0478","957","Combate","18.823334","-97.131386"
"25","Los Tuxtlas","Reserva de la Biósfera","Federal","veracruz","MECAYAPAN","Desconocidas","Bosque de Pino","16.801","11","Combate","18.256111","-94.848335"
"25","La Montaña Malinche o Matlalcuéyatl","Parque Nacional","Federal","tlaxcala","HUAMANTLA","Intencional","Bosque de Pino","5.9958","21","Combate","19.288605","-98.01602"
"25","De La Mariposa Monarca","Paisaje Natural","Estatal","tamaulipas","OCAMPO","Actividades agrícolas","Bosque de Encino","80","67","Combate","22.743473","-99.467804"
"25","De La Mariposa Monarca","Paisaje Natural","Estatal","tamaulipas","TULA","Naturales","Bosque de Pino","595","198","Combate","23.191275","-99.86025"
"25","Sierra Gorda","Reserva de la Biósfera","Federal","querétaro","LANDA DE MATAMOROS","Desconocidas","Bosque de Pino","2.712","27","Combate","21.292805","-99.10731"
"25","Sierra Gorda","Reserva de la Biósfera","Federal","querétaro","JALPAN DE SERRA","Actividades agrícolas","Bosque de Encino","10.1131","45","Combate","21.561083","-99.194885"
"25","Área de Conservación Montenegro","Áreas Destinadas Voluntariamente a la Conservación","Federal","oaxaca","SAN JUAN BAUTISTA VALLE NACIONAL","Actividades agrícolas","Selva Alta Perennifolia","1.8372","178","Combate","17.734444","-96.23417"
"25","Reserva Comunal Tres Pico","Áreas Destinadas Voluntariamente a la Conservación","Federal","oaxaca","SANTA MARÍA CHIMALAPA","Desconocidas","Selva Alta Perennifolia","4.2714","304","Combate","16.883612","-94.625275"
"25","Reserva Comunal la Gringa Zona Oriente","Áreas Destinadas Voluntariamente a la Conservación","Federal","oaxaca","SANTA MARÍA CHIMALAPA","Desconocidas","Selva Alta Perennifolia","148.7426","25","Combate","17.072222","-94.299446"
"25","Santuario del Agua y Forestal Subcuenca Tributaria Río San Lorenzo","Parque Estatal","Estatal","méxico","LERMA","Quema de basureros","Bosque de Encino","1.43","12","Combate","19.378468","-99.45363"
"25","El Oso Bueno","Parque Estatal","Estatal","méxico","ACAMBAY DE RUÍZ CASTAÑEDA","Actividades agrícolas","Bosque de Pino","0.4759","8","Combate","20.001612","-99.948524"
"25","Bosencheve","Parque Nacional","Federal","méxico","VILLA VICTORIA","Intencional","Bosque de Pino","1.065","6","Combate","19.47611","-100.09475"
"25","Santuario del Agua y Forestal Manantiales Cascada Diamantes","Parque Estatal","Estatal","méxico","TLALMANALCO","Intencional","Bosque de Pino-Encino","0.4819","11","Combate","19.187815","-98.7594"
"25","Nevado de Toluca","Área de Protección de Flora y Fauna","Federal","méxico","ZINACANTEPEC","Actividades pecuarias","Bosque de Pino","7.7106","46","Combate","19.1062","-99.7853"
"25","Parque Ecológico y Recreativo de Tenancingo, Malinalco y Zumpahuacan","Parque Estatal","Estatal","méxico","TENANGO DEL VALLE","Actividades pecuarias","Bosque de Pino","7.23","10","Combate","19.043612","-99.61933"
"25","Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec","Área de Protección de los Recursos Naturales","Federal","méxico","VALLE DE BRAVO","Intencional","Bosque de Pino-Encino","4.249","139","Combate","19.165003","-100.189804"
"25","Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec","Área de Protección de los Recursos Naturales","Federal","méxico","VILLA DE ALLENDE","Actividades agrícolas","Bosque de Pino-Encino","4.24","28","Combate","19.386278","-100.16031"
"25","Iztaccíhuatl-Popocatépetl","Parque Nacional","Federal","méxico","IXTAPALUCA","Intencional","Bosque de Pino","1.8707","6","Combate","19.344162","-98.686745"
"25","Nevado de Toluca","Área de Protección de Flora y Fauna","Federal","méxico","ZINACANTEPEC","Actividades agrícolas","Bosque de Pino","37.57","10","Combate","19.075945","-99.808914"
"25","Mariposa Monarca","Reserva de la Biósfera","Federal","méxico","SAN JOSÉ DEL RINCÓN","Actividades agrícolas","Bosque de Oyamel","3.1","17","Combate","19.521889","-100.17625"
"25","Nevado de Toluca","Área de Protección de Flora y Fauna","Federal","méxico","VILLA GUERRERO","Actividades agrícolas","Bosque de Pino","18.31","42","Combate","19.035833","-99.71472"
"25","Nevado de Toluca","Área de Protección de Flora y Fauna","Federal","méxico","AMANALCO","Intencional","Bosque de Oyamel","2.98","50","Combate","19.216028","-99.922806"
"25","Parque Ecológico Turistico y Recreativo Zempoala La Bufa, denominado Parque Otomí-Mexica","Parque Estatal","Estatal","méxico","OCOYOACAC","Actividades agrícolas","Bosque de Pino","20.7398","36","Combate","19.283083","-99.42275"
"25","Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec","Área de Protección de los Recursos Naturales","Federal","méxico","VALLE DE BRAVO","Intencional","Bosque de Pino","16.1927","12","Combate","19.127594","-99.99383"
"25","Bosencheve","Parque Nacional","Federal","méxico","VILLA VICTORIA","Intencional","Bosque de Pino","15.65","26","Combate","19.471695","-100.09634"
"25","Manantial La Mintzita","Zona de Restauración y Protección Ambiental","Estatal","michoacán","MORELIA","Desconocidas","Bosque Cultivado","4.578","18","Combate","19.638083","-101.282364"
"25","Mariposa Monarca","Reserva de la Biósfera","Federal","michoacán","OCAMPO","Intencional","Bosque de Pino-Encino","0.8671","20","Combate","19.588943","-100.3007"
"25","Mariposa Monarca","Reserva de la Biósfera","Federal","michoacán","ANGANGUEO","Intencional","Bosque de Pino-Encino","0.509","28","Combate","19.631573","-100.27054"
"25","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","jalisco","MEZQUITIC","Actividades agrícolas","Bosque de Pino-Encino","90.8741","12","Combate","22.008928","-103.98839"
"25","Cerro Viejo - Chupinaya - Los Sabinos","Área Estatal de Protección Hidrológica","Estatal","jalisco","TLAJOMULCO DE ZÚÑIGA","Intencional","Bosque de Encino","71.6407","138","Combate","20.383806","-103.40812"
"25","Sierra de Vallejo-Río Ameca","Reserva de la Biósfera","Federal","jalisco","MIXTLÁN","Desconocidas","Bosque de Pino-Encino","4.1721","44","Combate","20.678814","-104.55888"
"25","Sierra de Quila","Área de Protección de Flora y Fauna","Federal","jalisco","TECOLOTLÁN","Naturales","Bosque de Pino-Encino","26.2903","63","Combate","20.278334","-104.05444"
"25","Barranca del Río Santiago","Área Municipal de Protección Hidrológica","Municipal","jalisco","ZAPOPAN","Desconocidas","Selva Baja Caducifolia","21.3217","55","Combate","20.850834","-103.348724"
"25","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","jalisco","AYUTLA","Desconocidas","Bosque de Pino","0.0228","17","Combate","20.097221","-104.62361"
"25","Cerro Viejo - Chupinaya - Los Sabinos","Área Estatal de Protección Hidrológica","Estatal","jalisco","TLAJOMULCO DE ZÚÑIGA","Intencional","Selva Baja Caducifolia","0.1803","11","Combate","20.382668","-103.396515"
"25","La Primavera","Área de Protección de Flora y Fauna","Federal","jalisco","ZAPOPAN","Desconocidas","Bosque de Pino","0.0264","9","Combate","20.713612","-103.58945"
"25","Río Frío de los Fresnos","Áreas Destinadas Voluntariamente a la Conservación","Federal","guerrero","COYUCA DE CATALÁN","Desconocidas","Bosque Mesófilo de Montaña","3.987","43","Combate","17.835077","-101.002945"
"25","Sierra Gorda de Guanajuato","Reserva de la Biósfera","Federal","guanajuato","XICHÚ","Naturales","Selva Baja Caducifolia","110.2256","707","Combate","21.47326","-99.845924"
"25","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","durango","MEZQUITAL","Desconocidas","Bosque de Pino-Encino","77.583","458","Combate","22.5825","-104.69611"
"25","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","durango","DURANGO","Naturales","Bosque de Pino-Encino","69.968","100","Combate","23.547222","-104.67472"
"25","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","durango","MEZQUITAL","Actividades pecuarias","Bosque de Encino","36.399","30","Combate","22.9575","-104.94722"
"25","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","durango","DURANGO","Transportes","Bosque de Pino","614.1315","229","Combate","23.678055","-104.64833"
"25","C.A.D.N.R. 043 Estado de Nayarit","Área de Protección de los Recursos Naturales","Federal","durango","PUEBLO NUEVO","Desconocidas","Bosque de Pino-Encino","159.907","46","Combate","23.285833","-104.938614"
"25","Canoas","Área de Protección de Flora y Fauna","Federal","colima","COQUIMATLÁN","Intencional","Bosque de Encino","374.434","356","Combate","19.285912","-104.02335"
"25","Sierra de Zapalinamé","Reserva Natural Estatal","Estatal","coahuila","SALTILLO","Naturales","Matorral Desértico Micrófilo","1.5923","24","Combate","25.381916","-100.94294"
"25","El Tepozteco","Parque Nacional","Federal","ciudad de méxico","MILPA ALTA","Cazadores","Bosque de Pino","5.3324","40","Combate","19.057255","-99.07472"
"25","Milpa Alta","Área Comunitaria de Conservación Ecológica","Estatal","ciudad de méxico","MILPA ALTA","Actividades pecuarias","Pastizal Halófilo","4.573","20","Combate","19.114973","-99.02469"
"25","San Miguel Topilejo","Reserva Estatal","Estatal","ciudad de méxico","TLALPAN","Actividades pecuarias","Bosque de Pino","1.8947","7","Combate","19.138384","-99.1828"
"25","San Bernabé Ocotepec","Reserva Estatal","Estatal","ciudad de méxico","ÁLVARO OBREGÓN","Intencional","Bosque de Oyamel","3.7992","39","Combate","19.29663","-99.28014"
"25","El Tepozteco","Parque Nacional","Federal","ciudad de méxico","MILPA ALTA","Actividades pecuarias","Bosque de Pino","3.748","8","Combate","19.056011","-99.07182"
"25","Milpa Alta","Área Comunitaria de Conservación Ecológica","Estatal","ciudad de méxico","MILPA ALTA","Actividades pecuarias","Pastizal Halófilo","3.3318","19","Combate","19.116625","-99.02376"
"25","El Tepozteco","Parque Nacional","Federal","ciudad de méxico","MILPA ALTA","Actividades pecuarias","Bosque de Pino","2.6811","10","Combate","19.057331","-99.070015"
"25","Milpa Alta","Área Comunitaria de Conservación Ecológica","Estatal","ciudad de méxico","MILPA ALTA","Actividades pecuarias","Pastizal Halófilo","0.4117","45","Combate","19.09798","-98.999275"
"25","San Miguel Topilejo","Reserva Estatal","Estatal","ciudad de méxico","TLALPAN","Actividades pecuarias","Bosque de Pino","1.129","13","Combate","19.109623","-99.21966"
"25","San Miguel Topilejo","Reserva Estatal","Estatal","ciudad de méxico","TLALPAN","Actividades pecuarias","Bosque de Pino","0.7124","8","Combate","19.11095","-99.22489"
"25","Milpa Alta","Área Comunitaria de Conservación Ecológica","Estatal","ciudad de méxico","MILPA ALTA","Actividades pecuarias","Bosque de Pino","0.6416","7","Combate","19.1442","-99.00868"
"25","El Tepozteco","Parque Nacional","Federal","ciudad de méxico","MILPA ALTA","Actividades pecuarias","Bosque de Pino","0.6082","8","Combate","19.057343","-99.073296"
"25","San Miguel Topilejo","Reserva Estatal","Estatal","ciudad de méxico","TLALPAN","Actividades pecuarias","Bosque de Pino","0.3976","9","Combate","19.110548","-99.22265"
"25","Milpa Alta","Área Comunitaria de Conservación Ecológica","Estatal","ciudad de méxico","MILPA ALTA","Actividades pecuarias","Bosque de Pino","0.1","11","Combate","19.140228","-99.03906"
"25","Tutuaca","Área de Protección de Flora y Fauna","Federal","chihuahua","MADERA","Intencional","Bosque de Encino","4103.4917","1110","Combate","28.734442","-108.350075"
"24","Reserva de la Biosfera Ría Celestun","Sitio Ramsar","Federal","yucatán","HALACHÓ","Desconocidas","Tular","2855.8761","0","Monitoreo","20.618334","-90.33605"
"24","Bala'an K'aax","Área de Protección de Flora y Fauna","Federal","yucatán","TEKAX","Actividades agrícolas","Selva Mediana Subcaducifolia","183.3197","1833","Combate","19.666666","-89.351425"
"24","Metlac - Río Blanco y Amatlán - Cuichapa","Reserva Ecológica","Estatal","veracruz","TEQUILA","Actividades agrícolas","Bosque Mesófilo de Montaña","86.511","410","Combate","18.745832","-97.009445"
"24","La Montaña Malinche o Matlalcuéyatl","Parque Nacional","Federal","tlaxcala","ZILTLALTÉPEC DE TRINIDAD SÁNCHEZ SANTOS","Intencional","Bosque de Encino-Pino","2.8263","12","Combate","19.235283","-97.9618"
"24","La Montaña Malinche o Matlalcuéyatl","Parque Nacional","Federal","tlaxcala","SAN FRANCISCO TETLANOHCAN","Fogatas","Bosque de Pino","0.69","11","Combate","19.271479","-98.06969"
"24","La Montaña Malinche o Matlalcuéyatl","Parque Nacional","Federal","tlaxcala","CHIAUTEMPAN","Fogatas","Bosque de Pino","0.5935","12","Combate","19.281267","-98.09275"
"24","Bernal de Horcasitas","Reserva Estatal","Estatal","tamaulipas","GONZÁLEZ","Naturales","Selva Baja Subcaducifolia","2","31","Combate","22.752747","-98.59066"
"24","Pantanos de Centla","Reserva de la Biósfera","Federal","tabasco","CENTLA","Cazadores","Tular","3676.5422","24","Combate","18.220928","-92.594345"
"24","Cañón del Usumacinta","Área de Protección de Flora y Fauna","Federal","tabasco","TENOSIQUE","Desconocidas","Selva Alta Perennifolia","80.721","93","Combate","17.415625","-91.52958"
"24","Cañón del Usumacinta","Área de Protección de Flora y Fauna","Federal","tabasco","TENOSIQUE","Intencional","Selva Alta Perennifolia","25.187","22","Combate","17.2517","-91.36774"
"24","Cañón del Usumacinta","Área de Protección de Flora y Fauna","Federal","tabasco","TENOSIQUE","Actividades agrícolas","Selva Alta Perennifolia","1890.1875","543","Combate","17.379555","-91.45908"
"24","Pantanos de Centla","Reserva de la Biósfera","Federal","tabasco","CENTLA","Cazadores","Popal","101.9454","32","Combate","18.337055","-92.48036"
"24","Bala'an K'aax","Área de Protección de Flora y Fauna","Federal","quintana roo","JOSÉ MARÍA MORELOS","Cazadores","Selva Mediana Subperennifolia","153.7194","690","Combate","19.23703","-88.81951"
"24","Yum Balam","Área de Protección de los Recursos Naturales","Federal","quintana roo","ISLA MUJERES","Cazadores","Selva Mediana Subperennifolia","187.6777","598","Combate","21.335283","-87.06396"
